,time,bnds,lon,lat,time_bnds,Net shortwave radiation flux (W m-2),Net longwave radiation flux (W m-2),Latent heat net flux (W m-2),Sensible heat net flux (W m-2),Ground heat flux (W m-2),Evapotranspiration (kg m-2 s-1),Storm surface runoff (kg m-2 s-1),Baseflow-groundwater runoff (kg m-2 s-1),Snow melt (kg m-2 s-1),Snow surface temperature (K),Average surface skin temperature (K),Snow depth water equivalent (kg m-2),Snow depth (m),Surface soil moisture (kg m-2),Root zone soil moisture (kg m-2),Profile soil moisture (kg m-2),Canopy water evaporation (kg m-2 s-1),Transpiration (kg m-2 s-1),Direct evaporation from bare soil (kg m-2 s-1),Plant canopy surface water (kg m-2),Snow evaporation (kg m-2 s-1),Aerodynamic conductance (m s-1),Terrestrial water storage (mm),Ground water storage (mm),Snow precipitation rate (kg m-2 s-1),Rain precipitation rate (kg m-2 s-1),Wind speed (m s-1),Total precipitation rate (kg m-2 s-1),Air temperature (K),Specific humidity (kg kg-1),Surface air pressure (Pa),Downward shortwave radiation flux (W m-2),Downward longwave radiation flux (W m-2),Month,Temp_Avg,Wind_Avg,Pressure_Avg,Precipitation,DayOfYear,Year,Week
291,2017-08-16,0,-122.625,38.375,2017-08-16,240.4071807861328,-48.48812484741211,56.829994201660156,135.8555450439453,-0.7694748044013977,2.3040744054014795e-05,0.0,0.0,0.0,291.23828125,291.23828125,0.0,0.0,5.210016250610352,256.0657653808594,1105.650390625,4.050028756807933e-09,1.0601781468722038e-05,1.243491169589106e-05,0.03769246116280556,0.0,0.17570731043815613,1105.68798828125,849.58447265625,0.0,0.0,2.32454179704962,0.0,289.5388888888889,0.0,100914.42199999999,0.0,0.0,2017-08-16 00:00:00,61.5,5.2,29.8,0.0,228,2017,33
292,2017-08-17,0,-122.625,38.375,2017-08-17,220.7488250732422,-36.34486389160156,56.53822326660156,124.94393157958984,2.9187328815460205,2.292244607815519e-05,8.426619402257529e-10,0.0,0.0,292.3058166503906,292.3058166503906,0.0,0.0,5.2033491134643555,255.79647827148438,1103.6075439453125,1.6141267167313345e-07,1.0366701644670684e-05,1.2394330951792654e-05,0.04547697305679321,0.0,0.17953382432460785,1103.6531982421875,847.8112182617188,0.0,0.0,2.592758158247653,0.0,290.65,0.0,100914.42199999999,0.0,0.0,2017-08-17 00:00:00,63.5,5.8,29.8,0.0,229,2017,33
293,2017-08-18,0,-122.625,38.375,2017-08-18,223.54774475097656,-41.031497955322266,60.919647216796875,119.07670593261719,2.5193681716918945,2.4698822016944177e-05,1.2632026091807802e-08,0.0,0.0,292.5758056640625,292.5758056640625,0.0,0.0,5.19374418258667,255.56881713867188,1101.6553955078125,-1.829363668548467e-06,1.2174665243946947e-05,1.4353524420585018e-05,0.09055445343255997,0.0,0.1909523904323578,1101.745849609375,846.08642578125,0.0,0.0,2.5480554313813144,0.0,289.59444444444443,0.0,100914.42199999999,0.0,0.0,2017-08-18 00:00:00,61.6,5.7,29.8,0.0,230,2017,33
294,2017-08-19,0,-122.625,38.375,2017-08-19,221.2633514404297,-37.702789306640625,55.266971588134766,131.2926788330078,-2.9952824115753174,2.2407042706618086e-05,8.672619289384897e-10,0.0,0.0,291.9527893066406,291.9527893066406,0.0,0.0,5.188137531280518,255.1507568359375,1099.5325927734375,4.329168348249368e-07,9.623752703191712e-06,1.2350375072855968e-05,0.029085993766784668,0.0,0.18761852383613586,1099.5616455078125,844.3817749023438,0.0,0.0,2.413947250782298,0.0,288.5388888888889,0.0,100575.783,0.0,0.0,2017-08-19 00:00:00,59.7,5.4,29.7,0.0,231,2017,33
295,2017-08-20,0,-122.625,38.375,2017-08-20,224.9120330810547,-41.1235466003418,33.473018646240234,152.79417419433594,-2.4781410694122314,1.3571059753303416e-05,1.8744177321394773e-09,0.0,0.0,291.39154052734375,291.39154052734375,0.0,0.0,5.196765899658203,255.326416015625,1098.042236328125,-6.626599770243047e-06,9.012424015963916e-06,1.1185235052835196e-05,0.10238489508628845,0.0,0.2121412456035614,1098.144775390625,842.7160034179688,0.0,0.0,2.011622708985248,0.0,290.26111111111106,0.0,100575.783,0.0,0.0,2017-08-20 00:00:00,62.8,4.5,29.7,0.0,232,2017,33
296,2017-08-21,0,-122.625,38.375,2017-08-21,229.22142028808594,-42.10060501098633,7.192737102508545,183.63929748535156,-3.70880126953125,2.9161710699554533e-06,0.0,0.0,0.0,291.08251953125,291.08251953125,0.0,0.0,5.220151901245117,256.0660095214844,1097.2132568359375,-1.2654884812945966e-05,6.894916168675991e-06,8.676139259478077e-06,0.1087660938501358,0.0,0.21182335913181305,1097.322021484375,841.147216796875,0.0,0.0,1.6987036209208761,0.0,289.31666666666666,0.0,100914.42199999999,0.0,0.0,2017-08-21 00:00:00,61.1,3.8,29.8,0.0,233,2017,34
297,2017-08-22,0,-122.625,38.375,2017-08-22,225.7467498779297,-45.37073516845703,13.28455638885498,159.66355895996094,7.423167705535889,5.385995336837368e-06,2.5941533365880787e-09,0.0,0.0,292.53961181640625,292.53961181640625,0.0,0.0,5.243283271789551,257.509033203125,1097.23291015625,-1.8987660951097496e-05,1.1972865650022868e-05,1.2400789273669943e-05,0.11710922420024872,0.0,0.17494256794452667,1097.349853515625,839.7236938476562,0.0,0.0,2.413947250782298,0.0,291.31666666666666,0.0,100914.42199999999,0.0,0.0,2017-08-22 00:00:00,64.7,5.4,29.8,0.0,234,2017,34
298,2017-08-23,0,-122.625,38.375,2017-08-23,219.37660217285156,-41.38526153564453,69.07715606689453,104.28563690185547,4.623180866241455,2.8006141292280518e-05,9.197453909592923e-11,0.0,0.0,292.9161376953125,292.9161376953125,0.0,0.0,5.23161506652832,257.3565673828125,1095.8248291015625,1.5718791246399633e-07,1.3099982425046619e-05,1.4748973626410589e-05,0.008034841157495975,0.0,0.16884970664978027,1095.8330078125,838.4683837890625,0.0,0.0,2.413947250782298,0.0,289.15,0.0,100914.42199999999,0.0,0.0,2017-08-23 00:00:00,60.8,5.4,29.8,0.0,235,2017,34
299,2017-08-24,0,-122.625,38.375,2017-08-24,230.8779754638672,-63.44515609741211,76.98808288574219,85.92950439453125,4.515052795410156,3.121349436696619e-05,5.780332375943109e-12,0.0,0.0,293.531005859375,293.531005859375,0.0,0.0,5.1965155601501465,256.1304626464844,1093.25537109375,4.274478726529196e-08,1.411822177033173e-05,1.705253089312464e-05,0.003979954868555069,0.0,0.15335963666439056,1093.2593994140625,837.1249389648438,0.0,0.0,1.9669199821189094,0.0,289.15,0.0,100575.783,0.0,0.0,2017-08-24 00:00:00,60.8,4.4,29.7,0.0,236,2017,34
300,2017-08-25,0,-122.625,38.375,2017-08-25,228.91172790527344,-68.85388946533203,74.6204833984375,81.35102844238281,4.082298278808594,3.02535936498316e-05,0.0,0.0,0.0,293.4470520019531,293.4470520019531,0.0,0.0,5.172045707702637,254.93104553222656,1090.6417236328125,-2.595790526971342e-10,1.394852006342262e-05,1.6305333701893687e-05,0.0055081481114029884,0.0,0.11089201271533966,1090.64697265625,835.71044921875,0.0,0.0,1.2516763522574876,0.0,288.42777777777775,0.0,100575.783,0.0,0.0,2017-08-25 00:00:00,59.5,2.8,29.7,0.0,237,2017,34
301,2017-08-26,0,-122.625,38.375,2017-08-26,233.0463409423828,-80.14375305175781,108.13805389404297,30.837661743164062,13.916380882263184,4.384270869195461e-05,2.856687759608678e-12,0.0,0.0,295.248046875,295.248046875,0.0,0.0,5.115801811218262,253.50352478027344,1087.7352294921875,2.2321891890442203e-08,1.98058824025793e-05,2.4014507289393805e-05,0.0008094414952211082,0.0,0.08134781569242477,1087.736083984375,834.2317504882812,0.0,0.0,1.0281627179257933,0.0,290.0388888888889,0.0,100575.783,0.0,0.0,2017-08-26 00:00:00,62.4,2.3,29.7,0.0,238,2017,34
302,2017-08-27,0,-122.625,38.375,2017-08-27,230.26695251464844,-73.48304748535156,147.4677276611328,-11.911969184875488,21.226999282836914,5.9788253565784544e-05,0.0,0.0,0.0,299.2082824707031,299.2082824707031,0.0,0.0,4.991286277770996,250.30484008789062,1082.9022216796875,1.818738937231501e-09,2.1439142074086703e-05,3.834730159724131e-05,0.00013548822607845068,0.0,0.0977928563952446,1082.90234375,832.597412109375,0.0,0.0,1.7881090746535537,0.0,296.2055555555555,0.0,100575.783,0.0,0.0,2017-08-27 00:00:00,73.5,4.0,29.7,0.0,239,2017,34
303,2017-08-28,0,-122.625,38.375,2017-08-28,229.7905731201172,-72.78912353515625,138.58212280273438,4.152060031890869,14.267037391662598,5.618573777610436e-05,0.0,0.0,0.0,299.42156982421875,299.42156982421875,0.0,0.0,4.916210174560547,247.1234893798828,1077.870361328125,3.747632482120622e-10,1.8549037122284062e-05,3.7636324123013765e-05,5.846926796948537e-05,0.0,0.10688083618879318,1077.870361328125,830.746826171875,0.0,0.0,2.32454179704962,0.0,293.4833333333333,0.0,100575.783,0.0,0.0,2017-08-28 00:00:00,68.6,5.2,29.7,0.0,240,2017,35
304,2017-08-29,0,-122.625,38.375,2017-08-29,225.6378936767578,-68.12036895751953,99.21571350097656,62.470455169677734,-4.155230522155762,4.0225302655017003e-05,2.2863017902496896e-12,0.0,0.0,297.0105285644531,297.0105285644531,0.0,0.0,4.88521671295166,244.6273956298828,1073.3126220703125,3.293570571827331e-08,1.155514928541379e-05,2.8637219656957313e-05,0.00033550456282682717,0.0,0.12599977850914001,1073.3128662109375,828.6851806640625,0.0,0.0,1.9222172552525703,0.0,289.4833333333333,0.0,100575.783,0.0,0.0,2017-08-29 00:00:00,61.4,4.3,29.7,0.0,241,2017,35
305,2017-08-30,0,-122.625,38.375,2017-08-30,232.9977264404297,-84.50638580322266,79.12462615966797,70.90958404541016,-1.5453639030456543,3.207971894880757e-05,0.0,0.0,0.0,294.6647644042969,294.6647644042969,0.0,0.0,4.902502536773682,244.0068817138672,1070.564697265625,9.710998671863535e-10,1.0536834452068433e-05,2.154191315639764e-05,0.00024381749972235411,0.0,0.15387661755084991,1070.5648193359375,826.5576782226562,0.0,0.0,1.6540008940545374,0.0,288.9833333333333,0.0,100575.783,0.0,0.0,2017-08-30 00:00:00,60.5,3.7,29.7,0.0,242,2017,35
306,2017-08-31,0,-122.625,38.375,2017-08-31,229.92367553710938,-88.18208312988281,92.19090270996094,38.77919387817383,10.759449005126953,3.737721999641508e-05,0.0,0.0,0.0,296.1705322265625,296.1705322265625,0.0,0.0,4.873633861541748,243.25064086914062,1067.6964111328125,8.00485233654058e-10,1.2882376722700428e-05,2.449403837090358e-05,0.00011058191012125462,0.0,0.096515953540802,1067.696533203125,824.44580078125,0.0,0.0,1.117568171658471,0.0,296.7055555555555,0.0,100237.144,0.0,0.0,2017-08-31 00:00:00,74.4,2.5,29.6,0.0,243,2017,35
307,2017-09-01,0,-122.625,38.375,2017-09-01,227.37521362304688,-84.68731689453125,144.31597900390625,-27.083772659301758,25.448467254638672,5.851042442373e-05,0.0,0.0,0.0,300.9036560058594,300.9036560058594,0.0,0.0,4.754683494567871,241.3743896484375,1063.70361328125,3.734686448986224e-10,1.4524184734909795e-05,4.398586315801367e-05,6.73784306854941e-05,0.0,0.07899866253137589,1063.7037353515625,822.3292846679688,0.0,0.0,1.6540008940545374,0.0,300.4833333333333,0.0,100237.144,0.0,0.0,2017-09-01 00:00:00,81.2,3.7,29.6,0.0,244,2017,35
308,2017-09-02,0,-122.625,38.375,2017-09-02,222.7985382080078,-83.68463134765625,152.25363159179688,-36.051822662353516,22.911558151245117,6.172862777020782e-05,0.0,0.0,0.0,303.5202331542969,303.5202331542969,0.0,0.0,4.607868671417236,238.08596801757812,1058.112060546875,2.118751979418576e-10,1.128768599301111e-05,5.04407289554365e-05,3.609661871450953e-05,0.0,0.11066698282957077,1058.1119384765625,820.0259399414062,0.0,0.0,1.3410818059901652,0.0,301.9833333333333,0.0,100237.144,0.0,0.0,2017-09-02 00:00:00,83.9,3.0,29.6,0.0,245,2017,35
309,2017-09-03,0,-122.625,38.375,2017-09-03,219.1324005126953,-75.3586654663086,118.01670837402344,19.65483283996582,6.110350131988525,4.784785051015206e-05,0.0,0.0,0.0,301.5049743652344,301.5049743652344,0.0,0.0,4.555546760559082,235.8127899169922,1053.39208984375,8.15106315776859e-11,7.917903531051707e-06,3.9929862396093085e-05,2.5436767828068696e-05,0.0,0.10738338530063629,1053.39208984375,817.5792846679688,0.0,0.0,1.6987036209208761,0.0,299.31666666666666,0.0,100575.783,0.0,0.0,2017-09-03 00:00:00,79.1,3.8,29.7,0.0,246,2017,35
310,2017-09-04,0,-122.625,38.375,2017-09-04,199.86349487304688,-52.14007568359375,72.7436752319336,82.07762145996094,-7.078732490539551,2.9492666726582684e-05,0.0,0.0,0.0,298.2732849121094,298.2732849121094,0.0,0.0,4.581943035125732,234.89971923828125,1049.9605712890625,4.0865873185413903e-11,4.6679319893883076e-06,2.4824694264680147e-05,1.9790104488492943e-05,0.0,0.1500026285648346,1049.9605712890625,815.0608520507812,0.0,0.0,1.3857845328565042,0.0,296.09444444444443,0.0,100575.783,0.0,0.0,2017-09-04 00:00:00,73.3,3.1,29.7,0.0,247,2017,36
311,2017-09-05,0,-122.625,38.375,2017-09-05,197.42147827148438,-31.040815353393555,30.9613094329834,141.33152770996094,-5.916301250457764,1.2552732187032234e-05,1.368764546150203e-09,0.0,0.0,295.881103515625,295.881103515625,0.0,0.0,4.674468517303467,235.62428283691406,1048.240478515625,1.8873683416131826e-07,2.406410658295499e-06,9.957583642972168e-06,0.004565585870295763,0.0,0.198031485080719,1048.2451171875,812.6162719726562,0.0,0.0,1.9669199821189094,0.0,295.3722222222222,0.0,100914.42199999999,0.0,0.0,2017-09-05 00:00:00,72.0,4.4,29.8,0.0,248,2017,36
312,2017-09-06,0,-122.625,38.375,2017-09-06,192.2329864501953,-37.518707275390625,28.001800537109375,136.06478881835938,-9.345100402832031,1.1352848559909035e-05,1.537735272449936e-09,0.0,0.0,294.42108154296875,294.42108154296875,0.0,0.0,4.727053165435791,236.8514862060547,1047.1796875,3.051986254831718e-07,2.395126330156927e-06,8.652523320051841e-06,0.036377180367708206,0.0,0.17197951674461365,1047.216064453125,810.3281860351562,0.0,0.0,1.6540008940545374,0.0,292.0388888888889,0.0,100914.42199999999,0.0,0.0,2017-09-06 00:00:00,66.0,3.7,29.8,0.0,249,2017,36
313,2017-09-07,0,-122.625,38.375,2017-09-07,87.76128387451172,-3.031007766723633,-72.30306243896484,171.6946563720703,-14.65273666381836,-2.9314040148165077e-05,3.68357575553091e-07,0.0,0.0,292.1899108886719,292.1899108886719,0.0,0.0,4.931911468505859,240.463134765625,1048.6986083984375,-3.332879350637086e-05,8.378440838896495e-07,3.176910468027927e-06,0.15905196964740753,0.0,0.22338029742240906,1048.8575439453125,808.2353515625,0.0,0.0,1.6987036209208761,0.0,292.09444444444443,0.0,100914.42199999999,0.0,0.0,2017-09-07 00:00:00,66.1,3.8,29.8,0.0,250,2017,36
314,2017-09-08,0,-122.625,38.375,2017-09-08,189.17112731933594,-35.60875701904297,-67.43394470214844,216.25668334960938,4.729703903198242,-2.7339929147274233e-05,3.534086090439814e-08,0.0,0.0,293.5667724609375,293.5667724609375,0.0,0.0,5.002758979797363,245.99240112304688,1052.5484619140625,-4.085605905856937e-05,5.311740096658468e-06,8.204388905141968e-06,0.18522478640079498,0.0,0.18012215197086334,1052.7337646484375,806.5560913085938,0.0,0.0,1.7881090746535537,5.8796296296296295e-06,290.7055555555555,0.0,100575.783,0.0,0.0,2017-09-08 00:00:00,63.6,4.0,29.7,0.02,251,2017,36
315,2017-09-09,0,-122.625,38.375,2017-09-09,188.1182861328125,-39.152130126953125,8.12820816040039,138.38475036621094,2.44760799407959,3.2954426387732383e-06,2.8433528864724167e-09,0.0,0.0,293.93829345703125,293.93829345703125,0.0,0.0,5.034366607666016,248.05270385742188,1053.2181396484375,-1.578832780069206e-05,7.68139670981327e-06,1.1402374184399378e-05,0.12342026829719543,0.0,0.13778913021087646,1053.3416748046875,805.16552734375,0.0,0.0,1.3410818059901652,0.0,291.7055555555555,0.0,100914.42199999999,0.0,0.0,2017-09-09 00:00:00,65.4,3.0,29.8,0.0,252,2017,36
316,2017-09-10,0,-122.625,38.375,2017-09-10,207.58004760742188,-65.1524429321289,82.35353088378906,45.50769805908203,14.556044578552246,3.338882379466668e-05,0.0,0.0,0.0,296.7350769042969,296.7350769042969,0.0,0.0,4.997166633605957,247.80471801757812,1051.8160400390625,2.194589043824635e-08,1.2964367670065258e-05,2.0402509107952937e-05,0.000942307582590729,0.0,0.07997845858335495,1051.8170166015625,804.0114135742188,0.0,0.0,1.430487259722843,0.0,296.9833333333333,0.0,100914.42199999999,0.0,0.0,2017-09-10 00:00:00,74.9,3.2,29.8,0.0,253,2017,36
317,2017-09-11,0,-122.625,38.375,2017-09-11,199.59556579589844,-62.0824089050293,108.11475372314453,20.240188598632812,9.160955429077148,4.38332644989714e-05,2.3589658004752323e-10,0.0,0.0,298.1297912597656,298.1297912597656,0.0,0.0,4.902873992919922,245.4650421142578,1048.267578125,9.95232625200515e-08,1.2974857781955507e-05,3.07588888972532e-05,0.0004336015263106674,0.0,0.15024013817310333,1048.26806640625,802.8026123046875,0.0,0.0,2.5033527045149753,0.0,296.3722222222222,0.0,100575.783,0.0,0.0,2017-09-11 00:00:00,73.8,5.6,29.7,0.0,254,2017,37
318,2017-09-12,0,-122.625,38.375,2017-09-12,165.6631622314453,-38.78861999511719,59.03243637084961,73.75481414794922,-5.896218776702881,2.3933684133226052e-05,1.571052621329727e-08,0.0,0.0,295.68310546875,295.68310546875,0.0,0.0,4.9133381843566895,243.80548095703125,1045.2608642578125,1.4919199884388945e-06,6.220776867849054e-06,1.6220992620219477e-05,0.005536336451768875,0.0,0.15966272354125977,1045.2664794921875,801.4554443359375,0.0,0.0,2.592758158247653,0.0,293.59444444444443,0.0,100575.783,0.0,0.0,2017-09-12 00:00:00,68.8,5.8,29.7,0.0,255,2017,37
319,2017-09-13,0,-122.625,38.375,2017-09-13,157.26930236816406,-24.040241241455078,-42.067955017089844,191.3375244140625,-16.03365707397461,-1.7055728676496074e-05,3.4944228843869496e-08,0.0,0.0,291.9162292480469,291.9162292480469,0.0,0.0,4.98505973815918,245.0560760498047,1045.1591796875,-2.646996836119797e-05,2.9931345579825575e-06,6.421101716114208e-06,0.11787887662649155,0.0,0.23547376692295074,1045.2769775390625,800.10302734375,0.0,0.0,1.7881090746535537,0.0,289.59444444444443,0.0,100575.783,0.0,0.0,2017-09-13 00:00:00,61.6,4.0,29.7,0.0,256,2017,37
320,2017-09-14,0,-122.625,38.375,2017-09-14,179.95016479492188,-34.49589538574219,-16.80976104736328,169.49087524414062,-7.232666492462158,-6.815229426138103e-06,7.124393297530673e-10,0.0,0.0,290.87945556640625,290.87945556640625,0.0,0.0,5.032471656799316,247.45703125,1046.4002685546875,-1.9549395801732317e-05,5.0396938604535535e-06,7.694474334130064e-06,0.1422508805990219,0.0,0.175458163022995,1046.5423583984375,798.9430541992188,0.0,0.0,2.3692445239159587,0.0,291.59444444444443,0.0,100575.783,0.0,0.0,2017-09-14 00:00:00,65.2,5.3,29.7,0.0,257,2017,37
321,2017-09-15,0,-122.625,38.375,2017-09-15,193.64749145507812,-72.22046661376953,57.27201461791992,68.88101959228516,-4.723618507385254,2.3219950890052132e-05,0.0,0.0,0.0,291.0740051269531,291.0740051269531,0.0,0.0,5.009182453155518,247.67431640625,1045.6309814453125,1.6320289120130838e-08,7.737867235846352e-06,1.5465762771782465e-05,0.0004514575994107872,0.0,0.18126188218593597,1045.63134765625,797.9566040039062,0.0,0.0,2.1010281627179257,0.0,289.5388888888889,0.0,100575.783,0.0,0.0,2017-09-15 00:00:00,61.5,4.7,29.7,0.0,258,2017,37
322,2017-09-16,0,-122.625,38.375,2017-09-16,179.2067413330078,-65.79830169677734,51.71136474609375,64.53609466552734,-2.844102144241333,2.0965484509360977e-05,0.0,0.0,0.0,291.2997741699219,291.2997741699219,0.0,0.0,4.998345851898193,246.90948486328125,1043.842529296875,-6.304184396732637e-10,7.241005732794292e-06,1.3725108146900311e-05,0.0005713360733352602,0.0,0.12056619673967361,1043.84326171875,796.9332275390625,0.0,0.0,1.206973625391149,0.0,288.09444444444443,0.0,100575.783,0.0,0.0,2017-09-16 00:00:00,58.9,2.7,29.7,0.0,259,2017,37
